Parts Designed (Final Versions)
Part Name,Version Number,
Reinforcement and Mounting Bracket for IKEA Lack Type 1,2.0,Y
Reinforcement and Mounting Bracket for IKEA Lack Type 2,2.0,Y
Switch Holder,1.0,Y
Wire Clamp,1.0,Y
X axis Carriage Part 1,1.0,N
X axis Carriage Part 1,2.0,N
X axis Carriage Part 2,1.0,N
X axis Carriage Part 2,2.0,N
XY Joiner style 2 bottom,1.0,N
XY Joiner style 2 top,1.0,N
XY Joiner style 3 bottom,1.0,N
XY Joiner style 3 bottom,2.0,N
XY Joiner style 3 full left,1.0,N
XY Joiner style 3 full right,1.0,N
XY Joiner left and right,2.0,N
XY Joiner,2.1,N
XY Joiner,3.0,N
XY Joiner,3.1,N
Z axis Adjustable Screw,1.0,N
Z axis Adjustable Screw,1.1,Y
Z axis Adjustable Screw filler,1.1,N
Z Bearing to Bed Part 1,1.0,N
Z Bearing to Bed Part 2,,N
Z Bearing to Bed Part 1,2.0,N
Z Bearing to Bed Part 1,3.0,N
Z Bearing to Bed Part 1,3.1,Y
Z Lead Screw Restraint,1.0,Y
Z Lead Screw Nut to Bed Mount,1.0,N
Z Lead Screw Nut to Bed Mount,1.1,Y
Z Motor Mount,1.0,Y
Z axis 10mm Rod Clamp Front-Left,1.0,N
Z axis 10mm Rod Clamp Front-Left,1.1,N
Z axis 10mm Rod Clamp Front-Left,1.2,Y
Z axis 10mm Rod Clamp Front-Right,1.0,N
Z axis 10mm Rod Clamp Front-Right,1.2,Y
Z axis 10mm Rod Clamp Back-Right,1.0,Y
Z axis 10mm Rod Clamp Back-Left,1.0,N
V2 of X and Y,,Y
12mm Steel Rod Clamp Type 1,2.0,N
12mm Steel Rod Clamp Type 1,2.1,N
12mm Steel Rod Clamp Type 1,2.2,N
12mm Steel Rod Clamp Type 1,2.3,Y
12mm Steel Rod Clamp Type 2,2.3,N
12mm Steel Rod Clamp Type 2,2.4,Y
Carriage Main for X axis,1.2,N
Carriage Main for X axis,2.0,N
Carriage Main for X axis,3.0,Y
Fan Air Vent/Director,1.0,N
Fan Air Vent/Director,1.1,N
Fan Air Vent/Director,1.2,N
Fan Air Vent/Director,2.0,Y
GT2 Belt Clamp,1.0,Y
Hotend Clamp Top for V2 of Hotend Mount Plate,1.0,N
Hotend Clamp Top for V3 of Hotend Carriage,1.0,Y
Hotend Mount Plate,1.0,N
Hotend Mount Plate,1.1,N
Hotend Mount Plate,2.0,N
Hotend Mount Plate for V3 of Hotend Carriage,3.0,Y
Hotend Wire Clamp Part 1,1.0,N
Hotend Wire Clamp Part 1,2.0,Y
Hotend Wire Clamp Part 2,1.0,N
Hotend Wire Clamp Part 2,2.0,Y
Idler Bearing Mount,1.0,N
Idler Bearing Mount,1.1,N
Idler Bearing Mount,1.2,N
Idler Bearing Mount,1.3,Y
Motor Mount,1.0,N
Motor Mount,1.1,N
Motor Mount,1.2,N
Motor Mount,1.3,N
Motor Mount,1.4,N
Motor Mount,1.5,Y
XY Joiner,1.5,Y
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
